timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655721586130,1570,GET All Activities,200,OK,Stress test 1-10,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,1570,0,89
1655721584810,2892,GET All Activities,200,OK,Stress test 1-6,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,2892,0,89
1655721585800,1900,GET All Activities,200,OK,Stress test 1-9,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,1900,0,90
1655721586798,903,GET All Activities,200,OK,Stress test 1-12,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,903,0,90
1655721585136,2564,GET All Activities,200,OK,Stress test 1-7,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,2564,0,91
1655721586467,1233,GET All Activities,200,OK,Stress test 1-11,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,1233,0,87
1655721585472,2228,GET All Activities,200,OK,Stress test 1-8,text,true,,3109,200,14,14,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,2228,0,92
1655721587130,576,GET All Activities,200,OK,Stress test 1-13,text,true,,3109,200,7,7,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,576,0,91
1655721587463,243,GET All Activities,200,OK,Stress test 1-14,text,true,,3109,200,7,7,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,243,0,89
1655721583811,3895,GET All Activities,200,OK,Stress test 1-3,text,true,,3109,200,7,7,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,3895,0,96
1655721584484,3224,GET All Activities,200,OK,Stress test 1-5,text,true,,3109,200,4,4,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,3224,0,91
1655721583254,4459,GET All Activities,200,OK,Stress test 1-1,text,true,,3109,200,3,3,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,4459,0,166
1655721584140,3573,GET All Activities,200,OK,Stress test 1-4,text,true,,3109,200,3,3,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,3573,0,91
1655721583480,4238,GET All Activities,200,OK,Stress test 1-2,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,4238,0,96
1655721587797,205,GET All Activities,200,OK,Stress test 1-15,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,205,0,97
1655721588131,191,GET All Activities,200,OK,Stress test 1-16,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,191,0,89
1655721588464,196,GET All Activities,200,OK,Stress test 1-17,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,196,0,92
1655721588797,196,GET All Activities,200,OK,Stress test 1-18,text,true,,3079,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,196,0,90
1655721589129,198,GET All Activities,200,OK,Stress test 1-19,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,198,0,92
1655721589463,203,GET All Activities,200,OK,Stress test 1-20,text,true,,3079,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,203,0,101
1655721589796,199,GET All Activities,200,OK,Stress test 1-21,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,199,0,93
1655721590128,201,GET All Activities,200,OK,Stress test 1-22,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,201,0,90
1655721590460,199,GET All Activities,200,OK,Stress test 1-23,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,199,0,93
1655721590793,201,GET All Activities,200,OK,Stress test 1-24,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,201,0,92
1655721591128,200,GET All Activities,200,OK,Stress test 1-25,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,200,0,89
1655721591460,196,GET All Activities,200,OK,Stress test 1-26,text,true,,3079,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,196,0,91
1655721591793,206,GET All Activities,200,OK,Stress test 1-27,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,206,0,96
1655721592126,197,GET All Activities,200,OK,Stress test 1-28,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,197,0,93
1655721592459,194,GET All Activities,200,OK,Stress test 1-29,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,194,0,89
1655721592793,198,GET All Activities,200,OK,Stress test 1-30,text,true,,3109,200,1,1,http://myapplication198570-appservice.azurewebsites.net/api/Activities?page=1,198,0,93
